prior,reps,time,state,obs,action,value
bistable,3,28,23,23,1,-0
bistable,3,29,23,23,1,-0
bistable,3,30,20,20,1,-0
bistable,3,31,20,20,1,-0
bistable,3,32,19,19,1,-0
bistable,3,33,19,19,1,-0
bistable,3,34,18,18,1,-0
bistable,3,35,17,17,1,-0
bistable,3,36,19,19,1,-0
bistable,3,37,19,19,1,-0
bistable,3,38,20,20,1,-0
bistable,3,39,21,21,1,-0
bistable,3,40,21,21,1,-0
bistable,3,41,20,20,1,-0
bistable,3,42,21,21,1,-0
bistable,3,43,22,22,1,-0
bistable,3,44,24,24,1,-0
bistable,3,45,25,25,1,-0
bistable,3,46,25,25,1,-0
bistable,3,47,23,23,1,-0
bistable,3,48,25,25,1,-0
bistable,3,49,25,25,1,-0
bistable,3,50,24,24,1,-0
bistable,3,51,25,25,1,-0
bistable,3,52,23,23,1,-0
bistable,3,53,22,22,1,-0
bistable,3,54,23,23,1,-0
bistable,3,55,23,23,1,-0
bistable,3,56,22,22,1,-0
bistable,3,57,22,22,1,-0
bistable,3,58,22,22,1,-0
bistable,3,59,22,22,1,-0
bistable,3,60,23,23,1,-0
bistable,4,1,21,21,1,-0
bistable,4,2,21,21,1,-0
bistable,4,3,22,22,1,-0
bistable,4,4,22,22,1,-0
bistable,4,5,22,22,1,-0
bistable,4,6,22,22,1,-0
bistable,4,7,22,22,1,-0
bistable,4,8,23,23,1,-0
bistable,4,9,24,24,1,-0
bistable,4,10,23,23,1,-0
bistable,4,11,22,22,1,-0
bistable,4,12,22,22,1,-0
bistable,4,13,22,22,1,-0
bistable,4,14,22,22,1,-0
bistable,4,15,23,23,1,-0
bistable,4,16,22,22,1,-0
bistable,4,17,22,22,1,-0
bistable,4,18,23,23,1,-0
bistable,4,19,23,23,1,-0
bistable,4,20,24,24,1,-0
bistable,4,21,23,23,1,-0
bistable,4,22,24,24,1,-0
bistable,4,23,26,26,1,-0
bistable,4,24,25,25,1,-0
bistable,4,25,25,25,1,-0
bistable,4,26,24,24,1,-0
bistable,4,27,24,24,1,-0
bistable,4,28,25,25,1,-0
bistable,4,29,27,27,1,-0
